title,duration,rating,price
Курс «Разработчик JavaScript. Базовый уровень» от OTUS,"
  Длительность: 
 6 месяцев
","
9
",80 000 ₽ 60 000 ₽
Профессия «Fullstack-разработчик на JavaScript» от Нетологии,"
  Длительность: 
 19 месяцев
","
9
",265 000 ₽ 159 000 ₽
Факультет ручного тестирования от GeekBrains,"
  Длительность: 
 10 месяцев
","
9
",212 500 ₽ 168 750 ₽
Профессия «Python-разработчик» от SkillFactory,"
  Длительность: 
 10 месяцев
","
9
",177 000 ₽ 106 200 ₽
Профессия «Android-разработчик» от LoftSchool,"
  Длительность: 
 3 месяца
","
9
",75 800 ₽ 45 500 ₽
Курс «Разработчик C++» от Яндекс Практикума,"
  Длительность: 
 9 месяцев
","
9
",126 000 ₽
Курс «Инфраструктурная платформа на основе Kubernetes» от Skillbox,"
  Длительность: 
 6 месяцев
","
9
",56 533 ₽ 45 226 ₽
Курс «Android-разработчик. Базовый уровень» от Skillbox,"
  Длительность: 
 6 месяцев
","
9
",101 784 ₽ 81 420 ₽
Курс «iOS-разработка для начинающих» от Skillbox,"
  Длительность: 
 6 месяцев
","
9
",103 512 ₽ 72 456 ₽
Курс «Введение в data science» от Skillbox,"
  Длительность: 
 6 месяцев
","
9
",95 748 ₽ 67 020 ₽
Профессия «Android-разработчик» от Skypro,"
  Длительность: 
 5 месяцев
","
9
",196 178 ₽ 117 707 ₽
Курс «Веб-разработчик с нуля до PRO» от Skillbox,"
  Длительность: 
 10 месяцев
","
8.8
",103 155 ₽ 82 524 ₽
Профессия «Data Scientist PRO» от Skillbox,"
  Длительность: 
 12 месяцев
","
8.8
",374 325 ₽ 224 595 ₽
Факультет «iOS-разработки» от GeekBrains,"
  Длительность: 
 12 месяцев
","
8.8
",199 500 ₽
Факультет Android-разработки от GeekBrains,"
  Длительность: 
 12 месяцев
","
8.8
",224 500 ₽ 168 375 ₽
Профессия «iOS-разработчик» от Нетологии,"
  Длительность: 
 12 месяцев
","
8.8
",182 500 ₽ 109 500 ₽
Курс «PHP-разработчик с нуля до PRO» от Skillbox,"
  Длительность: 
 12 месяцев
","
8.8
",79 000 ₽ 55 300 ₽
Факультет «Веб-разработки» от GeekBrains,"
  Длительность: 
 24 месяца
","
8.8
",249 500 ₽ 168 750 ₽
Факультет «DevOps» от GeekBrains,"
  Длительность: 
 18 месяцев
","
8.8
",270 000 ₽
Курс «iOS Разработчик. Продвинутый курс» от Otus,"
  Длительность: 
 6 месяцев
","
8.8
",70 000 ₽ 55 000 ₽
Профессия «1С-разработчик» от Нетологии,"
  Длительность: 
 6 месяцев
","
8.8
",89 900 ₽ 59 900 ₽
Курс «React.js разработчик» от Otus,"
  Длительность: 
 4 месяца
","
8.8
",60 000 ₽
Курс «Java-разработчик» от Skillbox,"
  Длительность: 
 4 месяца
","
8.8
",107 443 ₽ 75 210 ₽
Профессия «Fullstack-разработчик на Python» от SkillFactory,"
  Длительность: 
 24 месяца
","
8.8
",165 000 ₽ 105 000 ₽
Курс «Java Developer. Professional» от Otus,"
  Длительность: 
 6 месяцев
","
8.8
",100 000 ₽
Специализация «DevOps-инженер» от Нетологии,"
  Длительность: 
 12 месяцев
","
8.8
",165 000 ₽ 99 000 ₽
Профессия «Разработчик игр на Unity» от Нетологии,"
  Длительность: 
 12 месяцев
","
8.8
",133 000 ₽ 79 800 ₽
